공연장코드,공연시설명,공연장명,공연장이미지,객석배치도,배치간격정보,검색횟수
FC000001-01,예술의전당,CJ 토월극장,,,,0
FC000001-02,예술의전당,리사이틀홀,,,,0
FC000001-03,예술의전당,콘서트홀,,,,0
FC000001-04,예술의전당,자유소극장,,,,0
FC000001-05,예술의전당,IBK 챔버홀,,,,0
FC000001-06,예술의전당,오페라극장,,,,0
FC000001-11,예술의전당,신세계스퀘어 야외무대,,,,0
FC000002-01,LG 아트센터,,,,,0
FC000003-01,국립극장,하늘극장,,,,0
FC000003-02,국립극장,별오름극장,,,,0
FC000003-03,국립극장,해오름극장,,,,0
FC000003-04,국립극장,달오름극장,,,,0
FC000004-01,한국문화예술위원회,아르코예술극장 소극장,,,,0
FC000004-02,한국문화예술위원회,아르코예술극장 대극장,,,,0
FC000004-03,한국문화예술위원회,대학로예술극장 대극장,,,,0
FC000004-05,한국문화예술위원회,대학로예술극장 소극장,,,,0
FC000004-06,한국문화예술위원회,아르코예술극장 스튜디오 다락,,,,0
FC000004-07,한국문화예술위원회,예술가의 집,,,,0
FC000004-09,한국문화예술위원회,대학로예술극장 스튜디오 하늘,,,,0
FC000005-01,국립극단 [명동],명동예술극장,,,,0
FC000006-01,정동극장,,,,,0
FC000006-03,정동극장,정동마루,,,,0
FC000008-01,극장용,,,,,0
FC000008-02,국립중앙박물관,대강당,,,,0
FC000009-01,국립국악원,예악당,,,,0
FC000009-02,국립국악원,우면당,,,,0
FC000009-04,국립국악원,풍류사랑방,,,,0
FC000009-05,국립국악원,연희마당,,,,0
FC000009-06,국립국악원,진악당,,,,0
FC000010-01,유니버설아트센터,,,,,0
FC000011-01,디큐브아트센터,디큐브씨어터,,,,0
FC000011-02,디큐브아트센터,스페이스 신도림,,,,0
FC000012-01,샤롯데씨어터,,,https://firebasestorage.googleapis.com/v0/b/capstone2020-e540d.appspot.com/o/theater_seat_plan%2Fcharlotte.jpg?alt=media&token=80453ebf-d7c5-4274-83c8-beba34bc5caa,,0
FC000013-01,인천문화예술회관,소공연장,,,,0
FC000013-02,인천문화예술회관,대공연장,,,,0
FC000013-04,인천문화예술회관,야외광장,,,,0
FC000014-01,충무아트센터,소극장 블루,,,,0
FC000014-02,충무아트센터,대공연장,,,,0
FC000014-03,충무아트센터,중극장 블랙,,,,0
FC000014-04,충무아트센터,컨벤션센터,,,,0
FC000016-01,성남아트센터,콘서트홀,,,,0
FC000016-02,성남아트센터,오페라하우스,,,,0
FC000016-03,성남아트센터,앙상블씨어터,,,,0
FC000017-02,경기도문화의전당,소극장,,,,0
FC000017-03,경기도문화의전당,대극장,,,,0
FC000017-04,경기도문화의전당,흥겨운 극장 (국악당),,,,0
FC000017-05,경기도문화의전당,꿈꾸는컨벤션센터,,,,0
FC000018-01,안산문화예술의전당,해돋이극장,,,,0
FC000018-02,안산문화예술의전당,달맞이극장,,,,0
FC000018-03,안산문화예술의전당,별무리극장,,,,0
FC000019-01,의정부예술의전당,대극장,,,,0
FC000019-02,의정부예술의전당,소극장,,,,0
FC000020-01,세종문화회관,대극장,,,,0
FC000020-02,세종문화회관,세종체임버홀,,,,0
FC000020-03,세종문화회관,M 씨어터,,,,0
FC000020-07,세종문화회관,S 씨어터,,,,0
FC000020-08,세종문화회관,뜨락 (야외공간),,,,0
FC000021-01,안양아트센터,관악홀,,,,0
FC000021-02,안양아트센터,수리홀,,,,0
FC000023-01,인천어린이과학관,공연장,,,,0
FC000023-02,인천어린이과학관,야외공연장,,,,0
FC000028-01,강동아트센터,소극장 드림,,,,0
FC000028-02,강동아트센터,대극장 한강,,,,0
FC000028-03,강동아트센터,스튜디오#1,,,,0
FC000028-05,강동아트센터,스튜디오#3,,,,0
FC000028-06,강동아트센터,바람꽃마당,,,,0
FC000031-01,블루스퀘어,인터파크홀,,,,0
FC000031-02,블루스퀘어,아이마켓홀,,,,0
FC000031-03,블루스퀘어,카오스홀,,,,0
FC000032-01,강북문화예술회관,대공연장,,,,0
FC000036-01,관악문화관,공연장,,,,0
FC000039-01,나루아트센터,소공연장,,,,0
FC000039-02,나루아트센터,대공연장,,,,0
FC000040-01,유시어터,,,,,0
FC000044-01,동해문화예술관,대극장,,,,0
FC000044-02,동해문화예술관,소극장,,,,0
FC000046-01,노원문화예술회관,대공연장,,,,0
FC000046-02,노원문화예술회관,소공연장,,,,0
FC000047-01,세라믹팔레스홀,,,,,0
FC000050-01,영주문화예술회관,까치홀,,,,0
FC000052-01,KT&G 상상마당 대치아트홀,,,,,0
FC000055-01,윤당아트홀,1관,,,,0
FC000055-02,윤당아트홀,2관,,,,0
FC000057-01,용인포은아트홀,,,,,0
FC000059-01,영등포아트홀,,,,,0
FC000062-01,백암아트홀,,,,,0
FC000064-01,은평문화예술회관,공연장,,,,0
FC000065-01,한국문화의집 KOUS,,,,,0
FC000068-01,빛고을시민문화관,공연장,,,,0
FC000068-02,빛고을시민문화관,아트스페이스,,,,0
FC000069-01,포스트극장,,,,,0
FC000070-01,호원아트홀,,,,,0
FC000071-02,광명시민회관,대공연장,,,,0
FC000071-03,광명시민회관,전시실,,,,0
FC000073-01,롤링홀,,,,,0
FC000076-01,대전예술의전당,아트홀,,,,0
FC000076-02,대전예술의전당,앙상블홀,,,,0
FC000079-01,블루라이트 라이브 홀,,,,,0
FC000081-01,울산문화예술회관,대공연장,,,,0
FC000081-02,울산문화예술회관,소공연장,,,,0
FC000084-01,울산북구문화예술회관,공연장,,,,0
FC000090-01,홍대난타극장,,,,,0
FC000091-01,양천문화회관,대극장,,,,0
FC000091-02,양천문화회관,해누리홀,,,,0
FC000095-01,하남문화예술회관,검단홀 (대극장),,,,0
FC000095-02,하남문화예술회관,아랑홀 (소극장),,,,0
FC000098-01,CJ 아지트 대학로,,,,,0
FC000099-03,이화여자대학교 김영의홀,김영의홀,,,,0
FC000100-01,모차르트홀,,,,,0
FC000106-01,경기광주문예회관,대극장,,,,0
FC000106-02,경기광주문예회관,소극장,,,,0
FC000110-01,남한산성아트홀,대극장,,,,0
FC000110-02,남한산성아트홀,소극장,,,,0
FC000113-01,한전아트센터,,,,,0
FC000115-01,영산양재홀,,,,,0
FC000118-01,반석아트홀,,,,,0
FC000119-01,더케이아트홀,,,,,0
FC000122-01,부천시민회관,대공연장,,,,0
FC000122-02,부천시민회관,소공연장,,,,0
FC000126-01,동서울아트홀,,,,,0
FC000127-01,고양아람누리,아람음악당,,,,0
FC000127-02,고양아람누리,새라새극장,,,,0
FC000127-03,고양아람누리,아람극장,,,,0
FC000127-04,고양아람누리,노루목야외극장,,,,0
FC000127-05,고양아람누리,갤러리누리,,,,0
FC000134-01,양주문화예술회관,소공연장,,,,0
FC000134-02,양주문화예술회관,대공연장 (체육관),,,,0
FC000136-01,수정청소년수련관,공연장,,,,0
FC000137-01,한국예술종합학교,예술소극장,,,,0
FC000137-02,한국예술종합학교,예술극장,,,,0
FC000138-01,성미산마을극장 향,,,,,0
FC000139-01,JTN 아트홀,2관,,,,0
FC000139-02,JTN 아트홀,1관,,,,0
FC000139-03,JTN 아트홀,4관,,,,0
FC000139-04,JTN 아트홀,3관,,,,0
FC000142-01,연천수레울아트홀,소공연장,,,,0
FC000142-02,연천수레울아트홀,대공연장,,,,0
FC000145-01,오산문화예술회관,대공연장,,,,0
FC000145-02,오산문화예술회관,소공연장,,,,0
FC000149-01,시흥시 여성비전센터,대강당,,,,0
FC000151-01,용인시여성회관,작은어울마당,,,,0
FC000151-02,용인시여성회관,큰어울마당,,,,0
FC000152-01,한성아트홀,2관,,,,0
FC000152-02,한성아트홀,1관,,,,0
FC000155-01,잡월드 나래울극장,,,,,0
FC000156-01,능동 어린이회관,무지개극장,,,,0
FC000156-02,능동 어린이회관,이벤트홀,,,,0
FC000158-01,인천중구문화회관,,,,,0
FC000160-01,금정문화회관,대공연장,,,,0
FC000160-02,금정문화회관,소공연장,,,,0
FC000161-01,민속극장풍류,,,,,0
FC000164-01,동래문화회관,대극장,,,,0
FC000164-02,동래문화회관,소극장,,,,0
FC000164-03,동래문화회관,야외공연장,,,,0
FC000166-01,해남문화예술회관,대공연장,,,,0
FC000166-02,해남문화예술회관,야외공연장,,,,0
FC000167-01,부산문화회관,대극장,,,,0
FC000167-02,부산문화회관,사랑채극장 (소극장),,,,0
FC000167-03,부산문화회관,중극장,,,,0
FC000167-04,부산문화회관,챔버홀,,,,0
FC000168-01,예림당아트홀,,,,,0
FC000170-01,코엑스,아티움,,,,0
FC000170-02,코엑스,아트홀,,,,0
FC000170-03,코엑스,오디토리움,,,,0
FC000170-04,코엑스,컨퍼런스룸 (남),,,,0
FC000170-06,코엑스,K 팝 광장 (동문),,,,0
FC000170-07,코엑스,D 홀,,,,0
FC000174-01,대전컨벤션센터 (DCC),컴퍼런스홀,,,,0
FC000174-02,대전컨벤션센터 (DCC),전시홀 (컨벤션홀),,,,0
FC000175-01, (재)영화의전당,하늘연극장,,,,0
FC000175-02, (재)영화의전당,비프씨어터 (야외),,,,0
FC000178-01,을숙도문화회관,대공연장,,,,0
FC000178-02,을숙도문화회관,소공연장,,,,0
FC000180-01,나온씨어터,,,,,0
FC000182-01,예술나눔터,,,,,0
FC000183-01,웃는얼굴아트센터,청룡홀,,,,0
FC000183-02,웃는얼굴아트센터,와룡홀,,,,0
FC000184-01,암사어린이극장,,,,,0
FC000185-01,상상아트홀 [대전],,,,,0
FC000188-01,한양레퍼토리씨어터,,,,,0
FC000190-01,소리아트홀,1관,,,,0
FC000190-02,소리아트홀,2관,,,,0
FC000190-03,소리아트홀,3관,,,,0
FC000191-01,대구문화예술회관,비슬홀,,,,0
FC000191-02,대구문화예술회관,팔공홀,,,,0
FC000191-04,대구문화예술회관,전시실 1~5,,,,0
FC000194-01,경복궁아트홀,,,,,0
FC000195-01,청운예술극장,,,,,0
FC000196-01,대덕문화전당,,,,,0
FC000198-01,경향아트힐,4관,,,,0
FC000198-03,경향아트힐,6관,,,,0
FC000198-04,경향아트힐,1관,,,,0
FC000198-05,경향아트힐,2관,,,,0
FC000198-06,경향아트힐,썬앤문전용관,,,,0
FC000198-07,경향아트힐,5관,,,,0
FC000200-01,봉산문화회관,가온홀,,,,0
FC000200-02,봉산문화회관,스페이스라온,,,,0
FC000201-01,와팝홀,,,,,0
FC000204-01,수성아트피아,용지홀,,,,0
FC000204-02,수성아트피아,무학홀,,,,0
FC000205-01,예스 24 라이브홀,,,,,0
FC000210-01,신촌아트레온,무빙온 (갤러리콘서트홀),,,,0
FC000212-01,예술나무씨어터,,,,,0
FC000213-01,하나투어 브이홀,,,,,0
FC000214-01,남동소래아트홀,스튜디오제비 (소공연장),,,,0
FC000214-05,남동소래아트홀,소래극장 (대공연장),,,,0
FC000215-01,프라임아트홀,,,,,0
FC000216-01,부평아트센터,달누리극장,,,,0
FC000216-02,부평아트센터,해누리극장,,,,0
FC000218-01,도봉구민회관,대강당,,,,0
FC000218-02,도봉구민회관,소공연장,,,,0
FC000219-01,인천수봉문화회관,소극장,,,,0
FC000221-01,샘터파랑새극장,1관,,,,0
FC000221-02,샘터파랑새극장,2관,,,,0
FC000223-01,아트팩토리 청춘,,,,,0
FC000227-01,미마지아트센터,물빛극장,,,,0
FC000227-02,미마지아트센터,풀빛극장 (오아시스극장),,,,0
FC000227-03,미마지아트센터,눈빛극장,,,,0
FC000228-01,창동문화체육센터,공연장,,,,0
FC000233-01,광주문화예술회관,대극장,,,,0
FC000233-02,광주문화예술회관,소극장,,,,0
FC000236-01,광주서구문화센터,,,,,0
FC000238-01,양산문화예술회관,대공연장,,,,0
FC000238-02,양산문화예술회관,소공연장,,,,0
FC000240-01,국립과천과학관,어울림홀,,,,0
FC000241-01,의령군민문화회관,,,,,0
FC000244-01,진해문화센터,공연장,,,,0
FC000244-02,진해문화센터,야외공연장,,,,0
FC000247-01,통영시민문화회관,대극장,,,,0
FC000247-02,통영시민문화회관,소극장,,,,0
FC000248-01,삼일로창고극장,,,,,0
FC000250-01,하동문화예술회관,대공연장,,,,0
FC000250-02,하동문화예술회관,소공연장,,,,0
FC000251-01,중랑구민회관,대공연장,,,,0
FC000251-02,중랑구민회관,소공연장,,,,0
FC000253-01,경성대학교 콘서트홀,콘서트홀,,,,0
FC000255-01,초콜릿팩토리,,,,,0
FC000256-01,레미어린이극장 [부산],,,,,0
FC000257-01,부산예술회관,,,,,0
FC000258-01,미아리고개예술극장,,,,,0
FC000260-01,제주문예회관,대극장,,,,0
FC000260-02,제주문예회관,소극장,,,,0
FC000262-01,제주아트센터,,,,,0
FC000266-01,MBC 드림홀 [부산],,,,,0
FC000275-01,신세계 문화홀 [센텀시티],,,,,0
FC000279-01,엑터스토리,,,,,0
FC000282-01,대구학생문화센터,대공연장,,,,0
FC000282-02,대구학생문화센터,소극장,,,,0
FC000287-01,대구어린이회관 꾀꼬리극장,,,,,0
FC000288-01,대구메트로아트센터,아트홀,,,,0
FC000292-01,문화예술전용극장 CT,,,,,0
FC000293-01,대백프라자,프라임홀,,,,0
FC000293-02,대백프라자,레오문화홀,,,,0
FC000296-01,하모니아 아트홀,1관,,,,0
FC000296-02,하모니아 아트홀,2관,,,,0
FC000297-01,송죽씨어터,,,,,0
FC000298-01,아트플러스씨어터,1관,,,,0
FC000298-02,아트플러스씨어터,2관,,,,0
